category,features
'Down home cooking restaurant' - Texas - Emilios Paleteria,"Texas, 31.833567, -102.3693851, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Comfort food, Kids' menu, Quick bite, Good for kids, Casual, Family-friendly"
'Oyster bar restaurant' - Florida - Hunt's Oyster Bar & Seafood Restaurant,"Florida, 30.1697747, -85.7013071, Takeaway, Dine-in, Delivery, Wheelchair-accessible car park, Coffee, Comfort food, Kids' menu, Good for kids, Casual, Groups"
'Cheesesteak restaurant' - Louisiana - Charleys Cheesesteaks,"Louisiana, 29.9218689, -90.03756829999999, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Comfort food, Kids' menu, Quick bite, Good for kids, Casual, Groups"
'Soul food restaurant' - North Carolina - Trumps Restaurant 2,"North Carolina, 35.857357, -76.74455259999999, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, All you can eat, Comfort food, Kids' menu, Good for kids, Casual, Family-friendly"
'Latin American restaurant' - Florida - Guava Grill - Latin Fusion,"Florida, 28.4921174, -81.2846266, Outdoor seating, Curbside pickup, No-contact delivery, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Family-friendly"
'Colombian restaurant' - Florida - El Balcon de las Americas Latin Food - Pembroke Pines,"Florida, 26.0107966, -80.3587474, Curbside pickup, No-contact delivery, Delivery, Wheelchair-accessible car park, Alcohol, Beer, Coffee, Good for kids, Casual, Family friendly"
'Colombian restaurant' - Florida - Bandeja Paisa Restaurant,"Florida, 25.7698542, -80.350978, Curbside pickup, No-contact delivery, Delivery, Wheelchair-accessible car park, Alcohol, Beer, Coffee, Good for kids, Casual, Family friendly"
'Indian restaurant' - North Carolina - Chutneys,"North Carolina, 35.836016, -78.8582721, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Family-friendly"
'Caribbean restaurant' - Florida - Donna's Caribbean Restaurant,"Florida, 26.1907419, -80.2512546, Outdoor seating, No-contact delivery, Delivery, Wheelchair-accessible toilet, Alcohol, Beer, Cocktails, Good for kids, Casual, Family friendly"
'Asian restaurant' - California - Mr. East Kitchen,"California, 37.7804277, -122.4038582, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Coffee, Good for kids, Casual, No"
'Authentic Japanese restaurant' - Louisiana - Saketini Sushi & Hibachi,"Louisiana, 30.1389637, -91.9617686, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Family-friendly"
'Burrito restaurant' - South Carolina - Uncle Bertos Burritos,"South Carolina, 34.8069811, -82.231301, Outdoor seating, No-contact delivery, Delivery, Wheelchair-accessible car park, Alcohol, Beer, Comfort food, Good for kids, Casual, Groups"
'Colombian restaurant' - Texas - Las Palmas Restaurant,"Texas, 32.9539915, -96.8476418, Curbside pickup, No-contact delivery, Delivery, Wheelchair-accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Groups"
'Indian restaurant' - Florida - Rasoi Indian Kitchen,"Florida, 27.2527125, -82.5147248, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Coffee, Good for kids, Casual, Family-friendly"
'Peruvian restaurant' - New Mexico - Tio David's Peruvian Flavor,"New Mexico, 35.0802268, -106.606491, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Family-friendly"
'Venezuelan restaurant' - Florida - Sabor Venezolano Kendall,"Florida, 25.6842857, -80.41848639999999, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, College students"
'African restaurant' - Texas - Oreofe African Restaurant / Beer & Wine,"Texas, 31.0866705, -97.7904055, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Comfort food, Bar onsite, Casual, Family-friendly"
'Peruvian restaurant' - California - El Rocoto,"California, 33.8589148, -118.0898523, Curbside pickup, No-contact delivery, Delivery, Wheelchair-accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Groups"
'Burrito restaurant' - New Mexico - Twisters Burgers and Burritos,"New Mexico, 35.109480999999995, -106.619919, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, College students"
'Indian restaurant' - North Carolina - Zayka Indian Cuisine,"North Carolina, 35.1727294, -79.4056243, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Family-friendly"
'Indian restaurant' - Arizona - Al Hamra Restaurant,"Arizona, 33.7000027, -111.8882914, Outdoor seating, No-contact delivery, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Coffee, Bar onsite, Casual, Family-friendly"
'Colombian restaurant' - Florida - Con Sabor A Cafe,"Florida, 25.6786137, -80.417304, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Coffee, Kids' menu, Quick bite, Good for kids, Casual, Groups"
'Indian restaurant' - California - 21 Biryani Pots,"California, 34.1527736, -118.759376, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, No"
'Cuban restaurant' - Florida - Calle23 Miami,"Florida, 25.7492243, -80.2593581, Outdoor seating, No-contact delivery, Takeout, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Family-friendly"
'Ethiopian restaurant' - California - Ephie Ethiopian Kitchen,"California, 37.567482, -121.97215, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Family-friendly"
'Takeout Restaurant' - Florida - Nana's Food For You,"Florida, 25.9899387, -80.1421976, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Comfort food, Healthy options, Quick bite, Good for kids, Casual, No"
'Peruvian restaurant' - Florida - Makan Miami Food truck,"Florida, 25.6859044, -80.38126199999999, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Comfort food, Healthy options, Quick bite, Good for kids, Casual, Groups"
'Cuban restaurant' - Florida - Casa Carlos Restaurant,"Florida, 25.5964461, -80.4310732, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, Family-friendly"
'Health food restaurant' - California - Lemonade Restaurant,"California, 34.1431317, -118.4031843, Outdoor seating, No-contact delivery, Delivery, Wheelchair-accessible entrance, Comfort food, Healthy options, Quick bite, Good for kids, Casual, Groups"
'Cuban restaurant' - Texas - The Twins,"Texas, 29.683518, -95.5281041, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, No"
'Health food restaurant' - Texas - Todo Natural,"Texas, 25.9251141, -97.4701074, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Family-friendly"
'East African restaurant' - Texas - Somali African Safari Restaurant,"Texas, 35.2223154, -101.7669656, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Groups"
'Salvadoran restaurant' - Texas - Marquez Restaurant,"Texas, 32.749465, -97.098187, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, Groups"
'Pancake restaurant' - South Carolina - Plantation House of Pancakes,"South Carolina, 33.6758384, -78.9032745, Takeaway, Dine-in, Delivery, Wheelchair-accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, Groups"
'Brunch restaurant' - California - Mari Cafe and Grill,"California, 34.0679068, -118.3835798, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Groups"
'Latin American restaurant' - Georgia - Raul's Latin Kitchen & Catering,"Georgia, 33.885993, -84.264752, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Family-friendly"
'Asian fusion restaurant' - California - Sizzle Spot,"California, 37.3290081, -121.8583559, Curbside pickup, No-contact delivery, Delivery, Wheelchair-accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Groups"
'Honduran restaurant' - Texas - Dilenia's Tradiciones Catrachas,"Texas, 32.864823, -96.6048145, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Gender-neutral restroom, Casual, Family-friendly"
'Greek restaurant' - Florida - Souvlaki Fresh,"Florida, 26.3519859, -80.0850043, Outdoor seating, No-contact delivery, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Comfort food, Good for kids, Casual, College students"
'Peruvian restaurant' - California - Rikas Peruvian cuisine,"California, 34.0693118, -118.2932305, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Comfort food, Healthy options, Late-night food, Good for kids, Casual, Family-friendly"
'Indian restaurant' - California - Rajwadi Thali Chaat & Sweets,"California, 37.5522639, -121.9848561, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible elevator, All you can eat, Comfort food, Healthy options, Good for kids, Casual, Family-friendly"
'Asian restaurant' - North Carolina - Ichiban Express Hibachi Grill,"North Carolina, 34.2149362, -77.8852885, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Comfort food, Healthy options, Quick bite, Gender-neutral restroom, Casual, College students"
'Asian fusion restaurant' - California - Teriyaki Madness,"California, 33.618657400000004, -117.7035724, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Comfort food, Healthy options, Kids' menu, Good for kids, Casual, Family-friendly"
'Peruvian restaurant' - Florida - El Pollo Inka Miami,"Florida, 25.8102631, -80.3156242, Curbside pickup, No-contact delivery, Delivery, Wheelchair-accessible entrance, Alcohol, Beer, Cocktails, Good for kids, Casual, Family friendly"
'Vegan restaurant' - Texas - Go Vegan San Antonio,"Texas, 29.5758873, -98.6247219, Outdoor seating, No-contact delivery, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, College students"
'Taco restaurant' - California - Azulé Taqueria,"California, 34.0167295, -118.4970296, Outdoor seating, No-contact delivery, Delivery, Wheelchair accessible elevator, Alcohol, Beer, Comfort food, Good for kids, Casual, Family-friendly"
'Latin American restaurant' - Florida - Pollo Tropical,"Florida, 28.3475723, -81.6070099, Curbside pickup, No-contact delivery, Delivery, Wheelchair-accessible car park, Comfort food, Healthy options, Kids' menu, Good for kids, Casual, Family friendly"
'Indian restaurant' - California - Crown of India,"California, 34.0909724, -118.3376835, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Comfort food, Healthy options, Small plates, Gender-neutral restroom, Casual, Family-friendly"
'Pho restaurant' - California - Phorage WeHo,"California, 34.0904294, -118.3493728, Outdoor seating, No-contact delivery, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, No"
'Indian restaurant' - Arizona - Tikka Shack Indian Grub,"Arizona, 33.7149219, -112.1136801, Outdoor seating, No-contact delivery, Delivery, Wheelchair accessible entrance, Beer, Comfort food, Healthy options, Good for kids, Casual, Family-friendly"
'Greek restaurant' - Florida - Little Greek Fresh Grill,"Florida, 28.7551756, -81.3342188, Curbside pickup, No-contact delivery, Delivery, Wheelchair accessible entrance, Comfort food, Healthy options, Kids' menu, Good for kids, Casual, No"
'Restaurant' - North Carolina - Red Dog Bar & Bistro,"North Carolina, 36.568883, -81.306523, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Groups"
'Restaurant' - South Carolina - Brick Street Cafe,"South Carolina, 34.8404625, -82.40620799999999, Takeaway, Dine-in, Delivery, Wheelchair-accessible car park, Alcohol, Beer, Cocktails, Good for kids, Casual, Groups"
'Restaurant' - Oklahoma - 3 Cubed Restaurant & Bar,"Oklahoma, 35.4718714, -97.5259935, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Groups"
'Restaurant' - Arizona - Essence Kitchen + Bar,"Arizona, 34.7604519, -112.4520025, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Groups"
'Restaurant' - North Carolina - Local Roots & Provisions,"North Carolina, 35.4707718, -81.256154, Outdoor seating, Dine-in, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Family-friendly"
'Restaurant' - Tennessee - Crossroads Atzimba Mexican Restaurant,"Tennessee, 35.7928186, -88.3912204, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Coffee, Bar onsite, Casual, Family-friendly"
'Restaurant' - California - Cafe on Main,"California, 40.7334747, -122.9410172, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Groups"
'Restaurant' - North Carolina - QC Pour House,"North Carolina, 35.2109253, -80.8619757, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Groups"
'Restaurant' - Florida - Alices Gulf Coast Cuisine & Wine Bar,"Florida, 30.408987, -87.2338485, Takeaway, Dine-in, Delivery, Wheelchair-accessible entrance, Alcohol, Beer, Coffee, Bar on site, Cosy, Groups"
'Restaurant' - North Carolina - Gamers Geekery & Tavern,"North Carolina, 35.7367485, -78.79866229999999, Takeout, Dine-in, Delivery, Wheelchair accessible elevator, Alcohol, Beer, Coffee, Bar onsite, Casual, Groups"
'Restaurant' - Texas - Juji's Kitchen,"Texas, 32.030319, -102.08578, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Coffee, Good for kids, Casual, Family-friendly"
'Restaurant' - Tennessee - C&K Sweet Treats & Smoked Meats,"Tennessee, 36.5416651, -82.2329048, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Tourists"
'Restaurant' - Louisiana - Nick's on 2nd,"Louisiana, 30.4942565, -92.4166062, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Groups"
'Restaurant' - Arizona - Yesterdays Restaurant,"Arizona, 35.4133618, -114.1996076, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Groups"
'Restaurant' - North Carolina - Noah’s Place Japanese Restaurant,"North Carolina, 34.9651917, -79.7395713, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Family-friendly"
'Restaurant' - Texas - Topgolf,"Texas, 31.5036082, -97.1506348, Outdoor seating, Dine-in, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Family-friendly"
'Restaurant' - Florida - Spurrier's Gridiron Grille,"Florida, 29.6244122, -82.39522819999999, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Coffee, Bar onsite, Casual, Groups"
'Restaurant' - North Carolina - Hwy 55 Burgers Shakes & Fries,"North Carolina, 35.4191246, -78.8017587, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Comfort food, Kids' menu, Quick bite, Good for kids, Casual, Groups"
'Restaurant' - Texas - Abuelita's Mexican Restaurant,"Texas, 31.9170244, -97.6645873, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Groups"
'Restaurant' - Texas - Stout’s Signature,"Texas, 29.4303875, -98.4871868, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Groups"
'Restaurant' - Florida - Bae Korean Grill,"Florida, 26.0509747, -80.2121181, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Groups"
'Restaurant' - Tennessee - Jane's Hideaway,"Tennessee, 36.164593, -86.7781663, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Groups"
'Restaurant' - Florida - Bridges Restaurant,"Florida, 27.3383341, -82.5465249, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Groups"
'Restaurant' - Texas - Kirk & J's BBQ,"Texas, 29.5907535, -95.0279541, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Comfort food, Kids' menu, Quick bite, Good for kids, Casual, Family-friendly"
'Restaurant' - South Carolina - Viva Tacos & Tequila,"South Carolina, 32.863686699999995, -79.90516079999999, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Groups"
'Restaurant' - Georgia - Frank's Alley - NY Street Food,"Georgia, 32.470205, -84.99294549999999, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Groups"
'Restaurant' - Tennessee - The Southern Oven,"Tennessee, 35.3807616, -85.5760294, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Family-friendly"
'Restaurant' - Tennessee - The Edge Food & Drink,"Tennessee, 36.2217042, -86.3079882, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Bar onsite, Casual, Groups"
'Restaurant' - Alabama - Vinny’s Greek and Indian Grill,"Alabama, 34.7295164, -86.5846943, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Groups"
'Restaurant' - Louisiana - The Island Golf Course and Restaurant,"Louisiana, 30.2859594, -91.2524681, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Coffee, Bar onsite, Casual, Groups"
'Restaurant' - Alabama - BK Clouds LLC,"Alabama, 33.611721, -86.9628753, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Family-friendly"
'Restaurant' - Texas - Encina,"Texas, 32.749346, -96.8319445, Outdoor seating, Dine-in, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Groups"
'Restaurant' - Louisiana - The Blue Rose Cafe & Bakery,"Louisiana, 30.3896559, -91.0482232, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Groups"
'Restaurant' - Texas - The Guava Tree Cuban Cafe & Cantina,"Texas, 33.1969316, -96.6136535, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Bar onsite, Casual, Groups"
'Restaurant' - Florida - Phở Hương Lan,"Florida, 28.5528019, -81.36370149999999, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Groups"
'Restaurant' - California - Lucky Buck Cafe,"California, 37.8176596, -120.058401, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Groups"
'Restaurant' - Mississippi - UPTOWN SOUL FOOD DINER,"Mississippi, 31.2529874, -89.836401, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Family-friendly"
'Restaurant' - California - Larry & Milt's Western Cafe #2,"California, 34.1209069, -116.4402266, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Groups"
'Restaurant' - Texas - BIG'Z BBQ,"Texas, 32.6964161, -94.7506917, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Groups"
'Restaurant' - Oklahoma - Ali's Place II,"Oklahoma, 35.434719, -96.2988967, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, Groups"
'Restaurant' - South Carolina - Taqueria Mixtepec,"South Carolina, 34.8862812, -82.3927082, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Family-friendly"
'Restaurant' - South Carolina - Bill's Country Kitchen,"South Carolina, 34.2639669, -80.5697904, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Family-friendly"
'Restaurant' - Arkansas - Little B's Grill,"Arkansas, 36.2064786, -92.2862212, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, Groups"
'Restaurant' - Georgia - Lela's Restaurant (Lawrence Village),"Georgia, 32.7425043, -82.26977289999999, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Groups"
'Restaurant' - Tennessee - BONES & YAMS,"Tennessee, 35.1556621, -89.7279842, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Tourists"
'Restaurant' - Georgia - Grubb & Stuff,"Georgia, 32.8910331, -83.59552, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Groups"
'Restaurant' - New Mexico - Oasis Cafe,"New Mexico, 34.6437661, -106.7306697, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Groups"
'Restaurant' - Florida - Mamajuana Cafe Tampa,"Florida, 28.0308589, -82.5406951, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Quick bite, Small plates, Bar onsite, Casual, Groups"
'Restaurant' - Florida - Brester's Coney Island,"Florida, 29.1826298, -82.1417201, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, Family-friendly"
'Restaurant' - South Carolina - Thompson's Country Diner,"South Carolina, 35.1623852, -81.8824537, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Groups"
'Restaurant' - Tennessee - Driftwood Diner,"Tennessee, 35.6598234, -84.73667789999999, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, Family-friendly"
'Restaurant' - Arizona - San Salvador típica comida,"Arizona, 33.4766871, -112.2233164, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Groups"
'Restaurant' - Tennessee - Salvadorian Authentic Restaurant,"Tennessee, 36.5801052, -87.3357303, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Bar onsite, Casual, Family-friendly"
'Restaurant' - Louisiana - Paradise Restaurante,"Louisiana, 29.9803939, -90.2442677, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Groups"
'Restaurant' - South Carolina - Meal on the Hill,"South Carolina, 34.1795235, -82.0235354, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, College students"
'Restaurant' - Texas - Red Top burgers,"Texas, 29.0503237, -95.5711682, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, Family-friendly"
'Restaurant' - Alabama - Fusion Grill,"Alabama, 32.820465, -85.7725296, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Groups"
'Restaurant' - Louisiana - Billeaud's No. 3 LLC,"Louisiana, 30.0957341, -91.9380656, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Groups"
'Restaurant' - Oklahoma - Green Gate Grill,"Oklahoma, 36.2055945, -94.8495363, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Groups"
'Restaurant' - North Carolina - Mai-Phi,"North Carolina, 35.1572463, -79.41446119999999, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Comfort food, Healthy options, Quick bite, Good for kids, Casual, Family-friendly"
'Restaurant' - Oklahoma - Catfish Corner,"Oklahoma, 34.162111, -97.142902, Takeaway, Dine-in, Delivery, Wheelchair-accessible car park, Alcohol, Beer, Coffee, Good for kids, Casual, Groups"
'Restaurant' - Arkansas - J'Ville Grille,"Arkansas, 34.8629974, -92.136393, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Family-friendly"
'Restaurant' - Arizona - Amor A La Mexicana Restaurant,"Arizona, 33.5649658, -112.1520692, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Groups"
'Restaurant' - California - Golden Eagle Drive-In,"California, 33.8796373, -118.2914699, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, Family-friendly"
'Restaurant' - Texas - Slowpoke Farm Market,"Texas, 32.3887147, -98.9795583, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Tourists"
'Restaurant' - Florida - Viet Kitchen,"Florida, 28.0247456, -82.50348749999999, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Groups"
'Restaurant' - Tennessee - Bristol Cafe & Market,"Tennessee, 36.5276985, -82.2527897, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Groups"
'Restaurant' - North Carolina - Mars Hill American Grill,"North Carolina, 35.8184742, -82.53831220000001, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Family-friendly"
'Restaurant' - Alabama - Highway 217 Cafe and Grill,"Alabama, 30.8183954, -88.25766159999999, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, Groups"
'Restaurant' - Arkansas - Amber's Bistro,"Arkansas, 34.8965559, -94.0903306, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Tourists"
'Restaurant' - Oklahoma - Abby Mae’s Cafe,"Oklahoma, 27.5998841, -97.7866202, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, Groups"
'Restaurant' - Tennessee - Senor Corral Restaurant,"Tennessee, 35.8639951, -83.51734549999999, Takeout, Dine-in, Delivery, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, Groups"
'Restaurant' - Tennessee - Paparito's Southwest Grill,"Tennessee, 35.9558639, -85.02939599999999, Curbside pickup, Takeout, Dine-in, Wheelchair accessible entrance, Alcohol, Beer, Comfort food, Good for kids, Casual, College students"
'Restaurant' - North Carolina - Ruckus & Redemption,"North Carolina, 35.7233064, -77.9111932, Outdoor seating, Takeout, Dine-in, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Tourists"
'Restaurant' - Alabama - The Refinery,"Alabama, 33.510888099999995, -86.78686569999999, Outdoor seating, Takeout, Dine-in, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Groups"
